DIRECTORIO;NRO_ENCUESTA;HOGAR_NUMERO;P6008;P5345;P258;P259;P1075;P1075S1;P1075S2;FEX_P
3086229;234;1;1;0;0;1;2; ; ;2552,10378512258
3086230;234;1;3;1;0;2;1;1;2;3269,1143244641
3086231;234;1;1;0;0;1;2; ; ;2803,45359773072
3086238;234;1;3;0;1;2;1;2;1;2772,56408746484
3086239;234;1;5;0;1;4;1;1;1;2075,9193030664
3086241;234;1;4;1;1;2;1;1;2;524,764542808015
3086242;234;1;2;0;0;2;2; ; ;634,959712702217
3086244;234;1;3;0;0;3;1;1;1;1419,28956174332
3086245;234;1;4;0;1;3;1;1;2;621,738684342121
3086247;234;1;2;0;0;2;2; ; ;471,658846015633
3086249;234;1;1;0;0;1;2; ; ;606,616395075261
3086250;234;1;2;0;0;2;1;2;1;1382,79715105971
3086252;234;1;4;1;1;2;1;2;1;626,49164403573
3086253;234;1;3;0;0;3;1;1;2;1468,00684602175
3086255;234;1;9;0;1;8;1;1;2;174,640888213191
3086256;234;1;2;0;0;2;1;1;2;609,763491778878
3086257;234;1;3;0;0;3;1;1;2;1443,23493730441
3086258;234;1;6;1;1;4;1;1;2;716,023913568511
3086259;234;1;3;1;0;2;2; ; ;188,070576943321
3086261;234;1;4;1;0;3;1;1;1;1539,00790930882
3086263;234;1;2;0;0;2;1;1;2;1413,07087511118
3086265;234;1;2;0;0;2;1;1;2;1436,23123202346
3086268;234;1;1;0;0;1;2; ; ;1428,44250809371
3086269;234;1;1;0;0;1;2; ; ;1458,71623214518
3086270;234;1;4;0;0;4;1;2;1;129,346274535831
3086270;234;2;1;0;0;1;2; ; ;129,346274535831
3086272;234;1;4;0;1;3;1;1;2;1385,89409489288
3086273;234;1;4;0;2;2;1;2;1;580,036566151253
3086275;234;1;7;0;2;5;1;1;2;181,013097010659
3086276;234;1;5;0;0;5;1;1;2;168,904151568501
3086277;234;1;5;0;1;4;1;1;2;672,629453572267
3086278;234;1;5;1;0;4;1;1;2;1492,34945930093
3086279;234;1;3;0;1;2;2; ; ;179,685645260539
3086280;234;1;4;1;0;3;1;1;2;691,549190598302
3086281;234;1;3;0;0;3;2; ; ;198,668371991758
3086282;234;1;2;1;0;1;1;2;1;1156,88458681075
3086283;234;1;4;0;0;4;1;1;2;640,548413944136
3086284;234;1;4;0;0;4;1;1;2;1426,29326702426
3086285;234;1;2;0;0;2;1;1;1;1038,62624743869
3086286;234;1;3;1;1;1;1;1;1;1409,7095339835
3086289;234;1;4;1;0;3;1;2;1;1186,48359008407
3086291;234;1;3;0;0;3;2; ; ;732,047843290707
3086293;234;1;3;0;0;3;1;1;2;459,87577238743
3086294;234;1;2;0;0;2;1;1;1;621,709039830652
3086296;234;1;2;0;0;2;1;1;2;1382,79715105971
3086298;234;1;5;1;0;4;1;1;2;670,583337763912
3086300;234;1;1;0;0;1;1;1;2;206,007388604725
3086302;234;1;3;0;0;3;1;1;2;202,894565269511
3086304;234;1;3;1;0;2;1;1;1;1561,50710491006
3086305;234;1;2;0;1;1;2; ; ;1047,32922233057
3086306;234;1;1;0;0;1;1;1;2;184,465430487776
3086307;234;1;3;0;0;3;1;1;2;1232,11931872044
3086309;234;1;1;0;0;1;1;1;1;1791,95392175672
3086310;234;1;2;0;0;2;2; ; ;729,455768254991
3086311;234;1;2;0;0;2;2; ; ;1731,49394210938
3086312;234;1;5;1;0;4;1;2;1;1822,34095524139
3086313;234;1;4;1;1;2;1;1;1;1153,11699778254
3086314;234;1;3;0;0;3;1;1;2;1840,43589098234
3086316;234;1;4;1;1;2;1;1;2;763,33014305506
3086317;234;1;6;0;1;5;1;1;2;1659,14567477574
3086320;234;1;2;0;0;2;1;1;2;471,658846015633
3086321;234;1;4;0;0;4;1;1;2;1490,0523135095
3086322;234;1;2;0;0;2;2; ; ;628,738347638026
3086323;234;1;3;0;1;2;1;1;2;1870,7837437014
3086324;234;1;2;0;0;2;1;1;2;2123,76182264987
3086325;234;1;3;0;0;3;2; ; ;492,051427971625
3086329;234;1;3;0;0;3;1;2;1;1232,76566014972
3086330;234;1;2;0;0;2;2; ; ;2147,54377614702
3086331;234;1;4;0;1;3;1;1;2;1157,61913360498
3086332;234;1;1;0;0;1;2; ; ;1945,7961992727
3086334;234;1;4;1;1;2;1;1;1;1753,02311849078
3086335;234;1;3;0;0;3;2; ; ;471,916759810465
3086337;234;1;1;0;0;1;1;1;2;2358,85611595679
3086338;234;1;3;0;1;2;1;1;2;1459,10194921542
3086339;234;1;5;0;2;3;1;1;2;1442,84736935721
3086340;234;1;5;0;0;5;1;1;2;1548,80016293733
3086341;234;1;2;0;0;2;1;1;1;1946,77437711268
3086342;234;1;2;0;0;2;1;1;2;488,773504689096
3086343;234;1;1;0;0;1;1;1;2;1904,26283002013
3086344;234;1;2;0;0;2;1;1;2;1765,43713822766
3086345;234;1;3;1;1;1;1;1;1;2146,36326486883
3086346;234;1;6;0;0;6;1;1;2;2854,24828619647
3086347;234;1;9;0;0;9;1;1;2;1610,48575170836
3086348;234;1;5;0;0;5;2; ; ;516,836811321442
3086349;234;1;5;0;0;5;1;1;2;2096,11641423114
3086350;234;1;3;0;1;2;1;1;2;707,878203406119
3086351;234;1;2;0;0;2;1;1;2;1839,68495092537
3086352;234;1;3;0;0;3;1;1;2;163,336688236841
3086353;234;1;3;0;0;3;1;1;1;1865,27455499934
3086354;234;1;2;0;0;2;1;1;2;1765,43713822766
3086358;234;1;1;0;0;1;2; ; ;2046,98145476625
3086360;234;1;1;0;0;1;1;1;1;1791,95392175672
3086361;234;1;1;0;0;1;2; ; ;2046,98145476625
3086364;234;1;5;0;1;4;2; ; ;187,807828077746
3086365;234;1;4;0;0;4;1;1;2;1881,75868175656
3086366;234;1;2;0;0;2;1;1;2;2484,42393566618
3086367;234;1;2;0;0;2;2; ; ;167,470223637271
3086368;234;1;2;0;0;2;1;2;1;2040,8021180994
3086370;234;1;5;0;1;4;1;1;2;1811,50168849364
3086371;234;1;4;1;1;2;2; ; ;263,312149644433
3086372;234;1;4;1;1;2;1;1;1;1642,15408752116
